Россия, Москва, Лётная улица;1;новый;15;монолит;8;35.92;;нет;7;современный ремонт;14624972
Россия, Москва, Староконюшенный переулок, 33;4;старый;4;кирпич;3;149;;нет;8;муниципальный ремонт;110000000
Россия, Москва, 2-я Хуторская улица, 34;студия;новый;36;монолит;26;27.47;;нет;9;TURNKEY;15116961
Россия, Москва, Старопетровский проезд, 8;4;новый;17;монолит;13;92.1;;есть;9;без отделки;32000000
Россия, Москва, Карамышевская набережная, 32/2;2;старый;9;монолит;8;44.4;8;есть;16;муниципальный ремонт;12800000
Россия, Московская область, Щёлково, проспект 60 лет Октября, 1Б;2;старый;12;кирпич;3;54.3;8;есть;58;муниципальный ремонт;6500000
Россия, Москва, Тенистый проезд, 2к1;4;старый;25;монолит;10;131;21;есть;15;современный ремонт;35000000
Россия, Москва, 1-й Сетуньский проезд, вл8;4;новый;41;монолит;41;181.3;;нет;17;;163170000
Россия, Москва, Холмогорская улица, 7;3;старый;9;панельный;5;58.4;6;есть;18;муниципальный ремонт;11200000
Россия, Москва, Смольная улица, 2;студия;старый;15;панельный;3;30;;нет;15;;7200000
Россия, Москва, Центральный административный округ, Тверской район;2;новый;21;монолит;5;75.3;25.44;нет;7;современный ремонт;35420000
Россия, Москва, Щёлковское шоссе, 61;1;старый;22;монолит;4;38.1;9;есть;5;муниципальный ремонт;9600000
Россия, Москва, Ясеневая улица, 33к1;3;старый;12;панельный;8;67;11;есть;10;;11950000
Россия, Москва, 4-я улица Марьиной Рощи, 12к1;2;новый;55;монолит;32;67.1;;нет;7;современный ремонт;26840000
Россия, Москва, улица Вавилова, 97;7;старый;15;кирпич;14;301.5;;нет;13;;64999000
Россия, Москва, Саранская улица, 4/24;студия;старый;12;панельный;2;17;;нет;9;муниципальный ремонт;4350000
Россия, Москва, улица Золоторожский Вал, 30;2;новый;27;монолит;14;56.5;15;нет;7;;21834424
Россия, Московская область, Раменский городской округ, село Никитское, 56/1;2;старый;1;монолит;1;70;10;нет;;муниципальный ремонт;2450000
Россия, Московская область, Коломна, улица Фрунзе, 47;3;старый;10;кирпич;1;87.3;16.2;нет;;современный ремонт;12100000
Россия, Москва, улица Лобачевского, с1;1;новый;32;монолит;4;44;21.9;нет;16;;22158400
Россия, Московская область, Богородский городской округ, рабочий посёлок имени Воровского, улица Братьев Ермиловых, 7;2;старый;5;панельный;3;51.3;9;есть;;муниципальный ремонт;4800000
Россия, Москва, улица Наташи Ковшовой, 23;3;старый;18;монолит;6;87.6;25;есть;13;муниципальный ремонт;25200000
Россия, Москва, улица Новый Арбат, 32;2;старый;13;монолит;8;132.1;;нет;9;без отделки;140022720
Россия, Московская область, городской округ Солнечногорск, деревня Голубое, Парковый бульвар, 5А;2;старый;25;монолит;6;47;;нет;58;;5262000
Россия, Москва, улица Лобачевского, 120к3;3;новый;25;монолит;24;120;;есть;11;без отделки;51000000
Россия, Москва, Цветной бульвар, 16/1;4;старый;5;кирпич;2;139;12;нет;4;;59900000
Россия, Москва, Западный административный округ, район Раменки, жилой комплекс Река;4;новый;12;монолит;5;160.41;17.6;есть;11;без отделки;143253248
Россия, Москва, Спиридоньевский переулок, 12/9;5;старый;5;кирпич;2;160.8;12;нет;8;;142819648
Россия, Москва, 2-я Хуторская улица, 34;студия;новый;54;монолит;48;27.92;;нет;9;без отделки;13407407
Россия, Москва, Подсосенский переулок, 3;5;старый;10;монолит;3;206;21;нет;10;;115125056
Россия, Московская область, городской округ Шатура, Рошаль, улица Октябрьской Революции, 4;3;старый;4;кирпич;1;66;9;нет;;муниципальный ремонт;2000000
Россия, Москва, Волгоградский проспект, 151к1;2;старый;5;панельный;1;45;6;нет;11;;6000000
Россия, Московская область, Орехово-Зуевский городской округ, Ликино-Дулёво, улица Степана Морозкина, 6;2;старый;5;кирпич;1;41.7;6;нет;;муниципальный ремонт;2480000
Россия, Москва, Волоколамское шоссе;1;новый;22;монолит;4;50.4;11;есть;16;современный ремонт;24660720
Россия, Московская область, городской округ Пушкинский, Ивантеевка, улица Прокудина, 4;2;новый;18;монолит;12;39.1;12;есть;;муниципальный ремонт;5799000
Россия, Московская область, Коломна, Пионерская улица, 50А;2;старый;9;панельный;1;47.3;6;есть;;;5450000
Россия, Москва, Волгоградский проспект;2;новый;30;монолит;26;62.5;24.1;нет;9;без отделки;22173376
Россия, Москва, улица Генерала Антонова, 10;3;старый;9;панельный;9;59;7;есть;11;;13300000
Россия, Москва, Большая Грузинская улица, 12;2;старый;8;кирпич;8;59.4;10;есть;5;муниципальный ремонт;30900000
Россия, Московская область, городской округ Воскресенск, дачное некоммерческое товарищество Москва-лето;1;новый;29;;20;39.76;11.66;нет;5;;15904000
Россия, Москва, улица Генерала Глаголева, 30к3;1;старый;12;панельный;3;39.2;8.6;есть;9;муниципальный ремонт;10550000
Россия, Московская область, Долгопрудный, Дирижабельная улица, 17;2;старый;9;кирпич;6;43.5;6.8;есть;15;муниципальный ремонт;7790000
Россия, Москва, улица Академика Челомея;2;новый;25;монолит;13;69.17;12.28;нет;12;современный ремонт;41356744
Россия, Московская область, Мытищи, улица Терешковой, 2к1;1;старый;16;монолит;15;38.7;9.9;нет;27;муниципальный ремонт;6500000
Россия, Москва, улица Яблочкова, 2/1;3;старый;8;кирпич;2;71;9;есть;9;муниципальный ремонт;18500000
Россия, Москва, Большой Толмачёвский переулок, 5с5;5;новый;8;монолит;7;459.4;30;есть;6;современный ремонт;2091619968
Россия, Московская область, Химки, Юбилейный проспект, 20;1;старый;9;кирпич;8;30.4;5.8;есть;16;;5500000
Россия, Московская область, Балашиха, микрорайон Салтыковка, Комсомольская улица, 9;3;старый;2;кирпич;2;73.8;8.5;нет;30;муниципальный ремонт;6800000
Россия, Москва, Северо-Западный административный округ, район Куркино, микрорайон 2Д;3;новый;8;монолит;4;110.5;18.6;нет;7;;50955416
Россия, Московская область, Сергиево-Посадский городской округ, Краснозаводск, улица 1 Мая, 11;2;старый;2;кирпич;2;40.8;5;нет;;муниципальный ремонт;3400000
Россия, Московская область, Воскресенск, Московская улица, 6А;2;старый;3;кирпич;3;41.7;6;нет;;;2299000
Россия, Москва, Новорязанская улица, 30;2;старый;7;кирпич;2;54.5;6.63;нет;8;муниципальный ремонт;17900000
Россия, Московская область, Дмитровский городской округ, территория объединения Векшино 2, 1;студия;новый;53;монолит;17;21.9;;нет;59;без отделки;9818996
Россия, Москва, Новая Басманная улица, 25/2;4;старый;5;кирпич;5;225;20;нет;8;;100000000
Россия, Москва, Тверская улица, 27с1;3;старый;8;кирпич;2;160;64;есть;2;без отделки;59950000
Россия, Москва, Мосфильмовская улица, 8;5;старый;52;монолит;52;471.01;103.5;нет;13;;463845472
Россия, Москва, Мичуринский проспект, 60к1;3;новый;10;монолит;4;131.4;32.6;есть;14;без отделки;99200000
Россия, Московская область, городской округ Красногорск, деревня Путилково, Сходненская улица, 27;2;старый;16;панельный;2;43;5.6;есть;20;современный ремонт;6990000
Россия, Московская область, Раменское, Коммунистическая улица, 5;2;старый;5;панельный;1;46.7;6;нет;52;муниципальный ремонт;4700000
Россия, Московская область, Одинцовский городской округ, рабочий посёлок Заречье, Торговая улица;1;новый;9;монолит;3;38.2;11.5;нет;13;;10302815
Россия, Москва, 1-й Красногвардейский проезд, 21с1;4;старый;82;;79;295;20;нет;3;;350000000
Россия, Московская область, городской округ Луховицы, посёлок Фруктовая, Вишнёвая улица, 19;2;старый;5;кирпич;1;51;9;есть;;муниципальный ремонт;3550000
Россия, Москва, проспект Мира, 95;2;новый;15;монолит;12;111.1;;нет;4;современный ремонт;48097936
Россия, Московская область, Жуковский, Молодёжная улица, 13;4;старый;9;панельный;8;74.7;7.2;нет;47;муниципальный ремонт;9447000
Россия, Московская область, Ленинский городской округ, Видное, Центральная улица, 72;студия;старый;3;кирпич;2;19.5;;есть;32;;3800000
Россия, Москва, Дмитровское шоссе, 1к1;3;новый;58;монолит;6;88.7;23.2;нет;5;современный ремонт;35480000
Россия, Москва, Преображенская площадь, 4;3;старый;12;кирпич;4;96;12;есть;4;муниципальный ремонт;29900000
Россия, Москва, проспект Мира, 184к2;3;старый;25;панельный;23;60;8;есть;10;;17300000
Россия, Москва, улица Щипок, 26с2;1;новый;8;монолит;4;70.96;;нет;10;современный ремонт;45798672
Россия, Москва, улица 800-летия Москвы, 2к2;2;старый;12;панельный;5;46.2;6.7;есть;18;современный ремонт;14950000
Россия, Московская область, Сергиев Посад, проспект Красной Армии, 234к1-2;1;старый;14;кирпич;4;41.6;11.7;есть;;муниципальный ремонт;6400000
Россия, Москва, Михалковская улица, 48;2;новый;20;монолит;16;57.1;14.9;нет;7;;17130000
Россия, Москва, поселение Внуковское, посёлок ДСК Мичуринец, улица Энгельса, 37;студия;старый;3;кирпич;2;42;;нет;26;муниципальный ремонт;4900000
Россия, Москва, Украинский бульвар, 6;2;старый;12;кирпич;6;48.8;7.1;есть;8;;23500000
Россия, Московская область, Балашиха, микрорайон 1 Мая, 27;2;старый;19;монолит;10;55;10;нет;16;;6700000
Россия, Москва, жилой комплекс Левел Южнопортовая, к7;1;новый;29;монолит;17;33.2;;нет;8;современный ремонт;11269786
Россия, Москва, Сивашская улица, 7;1;старый;17;панельный;2;38.4;9;нет;4;муниципальный ремонт;12000000
